Year,Month,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,Day,Casino,EGM,Keno,Lottery,Wagering,btc_per_month
2006,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39115958.87,142594054.91,6281365.6,39986323.03,30711574.99,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52729843.82,131305569.05,7105724.55,27829414.79,28758384.57,0
2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45548695.35,122712666.76,6392484.54,31032745.85,24872908.32,0
2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43219192.97,140965569.64,7554177.94,37107466.76,31602705.71,0
2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43722277.01,132457377.66,4178239.93,26763752.34,29279412.24,0
2007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45317220.21,142309664.63,6352158.98,36219672.82,29585404.78,0
2007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43953960.72,145116189.29,7674552.08,31166510.93,31673858.62,0
2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41293343.48,154618456.81,8270091.33,32961042.9,29480839.58,0
2007,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48892699.43,169901248.52,7019244.71,28341866.14,27099063.57,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48218292.47,153346138.29,8800974.57,33158239.31,28520175.35,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45839923.88,155153567.07,7567666.88,35471554.11,29504591.71,0
2007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46676613.89,156173881.82,5989079.85,31668126.09,36228295.41,0
2007,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42462210.26,153519319.3,8296000.65,40717597.84,31703427.68,0
2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53010849.77,143035950.75,8041064.29,30060869.08,30502408.01,0
2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56070962.16,137128789.86,7092797.86,28525014.16,27655214.06,0
2008,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41212686.22,141562811.76,5443109.61,29640572.18,33258227.43,0
2008,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45187649.03,140462070.72,6975253.85,40321231.48,30836354.05,0
2008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40006404.06,151040897.6,6969779.67,39946553.21,32916192.35,0
2008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51473928.96,146274256.48,5784304.99,35216698.37,32187861.11,0
2008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44317334.34,167709529.73,7666273.64,41132760.8,31316191.64,0
2008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48709106.88,173316608.34,8669989.05,32689293.55,34250998.95,0
2008,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41292263.7,154431834.16,6318557.84,29953095.13,31265506.25,0
2008,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887685.8,163918374.98,8122227.81,30220123.52,36803801.66,0
2008,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48864417.21,152298611.53,8071769.02,35170115.15,43624472.52,0
2008,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43893512.37,167018710.58,8866234.9,32105546.67,32039083.25,0
2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58103621.71,150583233.66,6677317.89,42001391.01,32623045.76,0
2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42307595.81,132534242.4,6807159.42,35640442.16,27843250.7,0
2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53976864.79,150187181.27,7932585.53,31594540.46,31636257.23,0
2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45583252.41,146763857.41,8468475.14,29428522.15,31901649.8,0
2009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47477090.1,158076997.9,9534977.21,35007267.43,34724834.11,0
2009,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51372322.77,143766395.11,9302350.59,63492990.9,30408467.23,0
2009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39541291.02,164859320.43,9470863.27,43505740.53,32139421.89,0
2009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49295301.32,163330757.38,5529198.52,34885580.49,34528447.84,0
2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44788185.67,150046134.46,8643269.66,34164745.21,29836422.59,0
2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37812174.88,160100436,6939846.69,36053951.3,39738590.9,0
2009,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48589879.03,145634347.57,8578962.53,30228740.29,40438336.53,0
2009,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43135399.04,150344554.99,7010510.42,37924789.75,31189982.47,0
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53892380.87,142265596.07,7912895.42,40931680.51,33729226.77,0
2010,2,0,2132033.33333333,0,0,0,0.0002597507,0,1,0,3.16654119398833E-05,3.5722724125,0,0,4746.2463559615,0,185.6666666667,185.8333333333,43050.5,185.8333333333,185.8333333333,14558.1666666667,4152,0,25.5,48780497.81,130771723.73,7102702.28,29956337.78,27567349.73,2132033.33333333
2010,3,0,2282116.12903226,0,0,0,0.0002681851,0,1,0,3.62760923682161E-05,4.3727428506,0,0,3607.3826189602,0,172.5806451613,173.5483870968,46141.6451612903,173.5483870968,173.5483870968,13247.79,4831.6451612903,0,16,46267814.82,141839461.58,5999238.12,38033586,29738092.02,150082.795698924
2010,4,0,2557881.66666667,0,0,0,0.0004348489,0,1.4333333333,0,7.56485606542333E-05,8.2772352716,0,0.0086666667,191.2201623468,0,317.5333333333,321.7333333333,53450.6333333333,321.7333333333,219.7333333333,24797.4503333333,10577.7,0,15.5,43197076.92,140703486.94,8118377.39,33165632.12,31792822.36,275765.537634409
2010,5,0,2811679.03225806,0,0,0,0.0004373397,0,1,0,0.0001009326,12.7888118511,0,0.3335483871,107.0005550814,0,191.8064516129,200.2580645161,61441.8709677419,200.2580645161,200.2580645161,24093.5093548387,12566.4838709677,0,16,43995855.8,143299653.86,8075662.25,34585692.77,31376740.06,253797.365591398
2010,6,0,3058158.33333333,0,0,0,0.0003717489,0,1,0,0.0001379528,17.5740432822,0,0,78.7305248765,0,219.2,222,68033.2333333333,222,222,35513.3663333333,15389.1666666667,0,15.5,50883346.12,142315955.62,5768980.4,41500410.15,31951511.36,246479.301075269
2010,7,0,3384222.58064516,0,65.2205903226,0.5806451613,0.0009512895,0,2.7096774194,0,0.0013156932,116.6365337964,0,0.3506451613,51.666916355,0,856.5161290323,854,83357.1612903226,854,444.0322580645,153196.110967742,32344.2903225806,0,16,42351821.49,166898549.07,9327103.55,35484953.36,35003826.38,326064.247311828
2010,8,0.0327211935,3730840.32258065,124510.996896774,459.5449032258,1,0.0006824372,0,1.3870967742,0,0.0041246637,440.2817486291,287.5273919355,0.3532258516,59.8502189217,0.8164040457,430.1612903226,385.6451612903,104285.322580645,385.6451612903,367.4838709677,48339.7258060935,20964.0322580645,684.7096774194,16,48797710.45,169308884.8,7904828.59,35316890.97,31906924.2,346617.741935484
2010,9,0.0663697667,4007311.66666667,265904.161751667,433.62416,1,0.0007542299,0,2.1,0,0.007420243,800.7029914158,615.088553,0.0683201473,42.5589008324,1.5081330551,487.0666666667,439.3,115685.4,439.3,398.0666666667,55462.7683142567,27404.2666666667,1815.4666666667,15.5,48679772.01,158669055.32,8720358.79,35688190.53,32783056.48,276471.344086021
